Quantity,Reference Designator,Model
2,"R1C, R2C","43k ohm, 0603, 1%"
6,"R4C, R4D, R4B, R4A, R5M, JP2","0 ohm, 0603"
2,"R1D, R2D","82k ohm, 0603, 1%"
2,"R1B, R2B","160k ohm, 0603, 1%"
1,R1A,"11k ohm, 0603, 1%"
1,R2A,"200k ohm, 0603, 1%"
1,C5C,"680nF, 1206, X7R, 10%"
2,"C6C, C6B","15nF, 1206, C0G, 10%"
8,"C9C, C0C, C9D, C0D, C9B, C0B, C9A, C0A","100nF, 0603, X7R, 20%"
2,"C5D, C5A","1uF, 1206, X7R, 10%"
1,C2D,"2.2nF, 0603, C0G, 10%"
1,C5B,"150nF, 1206, X7R, 10%"
1,C6A,"100nF, 1206, C0G, 10%"
2,"C101M, C100M","10uF, 6032, tantalum, 20%"
4,"U1C, U1D, U1B, U1A","LT1112, SOIC"
4,"J1M, J2M, J3M, J4M","67996-206HLF, 2x3 0.1"" header"
4," J1C, J1D, J1B, J1A","BCS-103-L-D-TE, 2x3 0.1"" socket"
2,"J5M, J6M","142-0701-851, SMA Jack, board edge female"
3,"+VS, -VS, GND","68000-101HLF, Test pin"
